열1,열2,열3,열4,열5,열6,열7
233,TestTotalAgent_MissReward(Clone),0,2,22,4,1
234,TestControllerAgent_MissReward(Clone),1,4,11,3,0
234,TestTotalAgent_MissReward(Clone),0,3,11,4,1
235,TestControllerAgent_MissReward(Clone),1,4,6,2,0
235,TestTotalAgent_MissReward(Clone),0,2,8,4,1
236,TestControllerAgent_MissReward(Clone),1,4,37,2,0
236,TestTotalAgent_MissReward(Clone),0,2,40,4,1
237,TestControllerAgent_MissReward(Clone),1,4,4,0,0
237,TestTotalAgent_MissReward(Clone),0,0,8,4,1
238,TestControllerAgent_MissReward(Clone),1,4,8,1,0
238,TestTotalAgent_MissReward(Clone),0,1,10,4,1
239,TestControllerAgent_MissReward(Clone),1,4,13,2,0
239,TestTotalAgent_MissReward(Clone),0,2,25,4,1
240,TestControllerAgent_MissReward(Clone),0,0,9,4,1
240,TestTotalAgent_MissReward(Clone),1,4,23,0,0
241,TestControllerAgent_MissReward(Clone),1,4,12,3,0
241,TestTotalAgent_MissReward(Clone),0,3,11,4,1
242,TestControllerAgent_MissReward(Clone),0,0,9,4,1
242,TestTotalAgent_MissReward(Clone),1,4,13,0,0
243,TestControllerAgent_MissReward(Clone),1,4,16,1,0
243,TestTotalAgent_MissReward(Clone),0,1,17,4,1
244,TestControllerAgent_MissReward(Clone),1,4,16,3,0
244,TestTotalAgent_MissReward(Clone),0,3,17,4,1
245,TestControllerAgent_MissReward(Clone),1,4,62,2,0
245,TestTotalAgent_MissReward(Clone),0,2,73,4,1
246,TestControllerAgent_MissReward(Clone),1,4,3,3,0
246,TestTotalAgent_MissReward(Clone),0,3,8,4,1
247,TestControllerAgent_MissReward(Clone),0,1,9,4,1
247,TestTotalAgent_MissReward(Clone),1,4,26,1,0
248,TestControllerAgent_MissReward(Clone),1,4,9,0,0
248,TestTotalAgent_MissReward(Clone),0,0,12,4,1
249,TestControllerAgent_MissReward(Clone),1,4,2,2,0
249,TestTotalAgent_MissReward(Clone),0,2,3,4,1
250,TestControllerAgent_MissReward(Clone),1,4,14,0,0
250,TestTotalAgent_MissReward(Clone),0,0,18,4,1
251,TestControllerAgent_MissReward(Clone),1,4,46,2,0
251,TestTotalAgent_MissReward(Clone),0,2,53,4,1
252,TestControllerAgent_MissReward(Clone),1,4,18,3,0
252,TestTotalAgent_MissReward(Clone),0,3,19,4,1
253,TestControllerAgent_MissReward(Clone),1,4,2,1,0
253,TestTotalAgent_MissReward(Clone),0,1,4,4,1
254,TestControllerAgent_MissReward(Clone),0,0,4,4,1
254,TestTotalAgent_MissReward(Clone),1,4,16,0,0
255,TestControllerAgent_MissReward(Clone),1,4,4,0,0
255,TestTotalAgent_MissReward(Clone),0,0,7,4,1
256,TestControllerAgent_MissReward(Clone),1,4,1,0,0
256,TestTotalAgent_MissReward(Clone),0,0,5,4,1
257,TestControllerAgent_MissReward(Clone),1,4,24,1,0
257,TestTotalAgent_MissReward(Clone),0,1,26,4,1
258,TestControllerAgent_MissReward(Clone),1,4,24,0,0
258,TestTotalAgent_MissReward(Clone),0,0,28,4,1
259,TestControllerAgent_MissReward(Clone),1,4,67,2,0
259,TestTotalAgent_MissReward(Clone),0,2,73,4,1
260,TestControllerAgent_MissReward(Clone),0,3,100,3,0
260,TestTotalAgent_MissReward(Clone),0,3,112,3,0
261,TestControllerAgent_MissReward(Clone),0,2,12,4,1
261,TestTotalAgent_MissReward(Clone),1,4,20,2,0
262,TestControllerAgent_MissReward(Clone),0,1,6,4,1
262,TestTotalAgent_MissReward(Clone),1,4,3,1,0
263,TestControllerAgent_MissReward(Clone),0,3,8,4,1
263,TestTotalAgent_MissReward(Clone),1,4,6,3,0
264,TestControllerAgent_MissReward(Clone),1,4,21,3,0
264,TestTotalAgent_MissReward(Clone),0,3,35,4,1
265,TestControllerAgent_MissReward(Clone),1,4,73,0,0
265,TestTotalAgent_MissReward(Clone),0,0,77,4,1
266,TestControllerAgent_MissReward(Clone),0,1,2,4,1
266,TestTotalAgent_MissReward(Clone),1,4,8,1,0
267,TestControllerAgent_MissReward(Clone),1,4,16,3,0
267,TestTotalAgent_MissReward(Clone),0,3,21,4,1
268,TestControllerAgent_MissReward(Clone),1,4,8,1,0
268,TestTotalAgent_MissReward(Clone),0,1,11,4,1
269,TestControllerAgent_MissReward(Clone),0,2,23,4,1
269,TestTotalAgent_MissReward(Clone),1,4,22,2,0
270,TestControllerAgent_MissReward(Clone),1,4,13,0,0
270,TestTotalAgent_MissReward(Clone),0,0,15,4,1
271,TestControllerAgent_MissReward(Clone),1,4,7,0,0
271,TestTotalAgent_MissReward(Clone),0,0,11,4,1
272,TestControllerAgent_MissReward(Clone),1,4,6,2,0
272,TestTotalAgent_MissReward(Clone),0,2,7,4,1
273,TestControllerAgent_MissReward(Clone),1,4,31,3,0
273,TestTotalAgent_MissReward(Clone),0,3,43,4,1
274,TestControllerAgent_MissReward(Clone),0,1,15,4,1
274,TestTotalAgent_MissReward(Clone),1,4,13,1,0
275,TestControllerAgent_MissReward(Clone),1,4,10,3,0
275,TestTotalAgent_MissReward(Clone),0,3,10,4,1
276,TestControllerAgent_MissReward(Clone),0,1,43,4,1
276,TestTotalAgent_MissReward(Clone),1,4,43,1,0
277,TestControllerAgent_MissReward(Clone),1,4,27,1,0
277,TestTotalAgent_MissReward(Clone),0,1,48,4,1
278,TestControllerAgent_MissReward(Clone),1,4,7,2,0
278,TestTotalAgent_MissReward(Clone),0,2,8,4,1
279,TestControllerAgent_MissReward(Clone),1,4,15,2,0
279,TestTotalAgent_MissReward(Clone),0,2,18,4,1
280,TestControllerAgent_MissReward(Clone),1,4,1,0,0
280,TestTotalAgent_MissReward(Clone),0,0,5,4,1
281,TestControllerAgent_MissReward(Clone),1,4,89,3,0
281,TestTotalAgent_MissReward(Clone),0,3,99,4,1
282,TestControllerAgent_MissReward(Clone),1,4,8,3,0
282,TestTotalAgent_MissReward(Clone),0,3,32,4,1
283,TestControllerAgent_MissReward(Clone),0,0,13,4,1
283,TestTotalAgent_MissReward(Clone),1,4,10,0,0
284,TestControllerAgent_MissReward(Clone),0,1,9,4,1
284,TestTotalAgent_MissReward(Clone),1,4,5,1,0
285,TestControllerAgent_MissReward(Clone),1,4,6,0,0
285,TestTotalAgent_MissReward(Clone),0,0,9,4,1
286,TestControllerAgent_MissReward(Clone),1,4,5,0,0
286,TestTotalAgent_MissReward(Clone),0,0,9,4,1
287,TestControllerAgent_MissReward(Clone),1,4,11,2,0
287,TestTotalAgent_MissReward(Clone),0,2,12,4,1
288,TestControllerAgent_MissReward(Clone),0,3,82,4,1
288,TestTotalAgent_MissReward(Clone),1,4,98,3,0
289,TestControllerAgent_MissReward(Clone),1,4,6,2,0
289,TestTotalAgent_MissReward(Clone),0,2,7,4,1
290,TestControllerAgent_MissReward(Clone),1,4,7,1,0
290,TestTotalAgent_MissReward(Clone),0,1,9,4,1
291,TestControllerAgent_MissReward(Clone),0,0,18,4,1
291,TestTotalAgent_MissReward(Clone),1,4,16,0,0
292,TestControllerAgent_MissReward(Clone),1,4,13,1,0
292,TestTotalAgent_MissReward(Clone),0,1,14,4,1
293,TestControllerAgent_MissReward(Clone),0,1,14,4,1
293,TestTotalAgent_MissReward(Clone),1,4,19,1,0
294,TestControllerAgent_MissReward(Clone),0,2,11,4,1
294,TestTotalAgent_MissReward(Clone),1,4,9,2,0
295,TestControllerAgent_MissReward(Clone),0,2,63,4,1
295,TestTotalAgent_MissReward(Clone),1,4,63,2,0
296,TestControllerAgent_MissReward(Clone),0,0,1,4,1
296,TestTotalAgent_MissReward(Clone),1,4,7,0,0
297,TestControllerAgent_MissReward(Clone),0,2,49,4,1
297,TestTotalAgent_MissReward(Clone),1,4,57,2,0
298,TestControllerAgent_MissReward(Clone),0,0,9,4,1
298,TestTotalAgent_MissReward(Clone),1,4,13,0,0
299,TestControllerAgent_MissReward(Clone),0,2,23,4,1
299,TestTotalAgent_MissReward(Clone),1,4,20,2,0
300,TestControllerAgent_MissReward(Clone),0,1,8,4,1
300,TestTotalAgent_MissReward(Clone),1,4,5,1,0
301,TestControllerAgent_MissReward(Clone),0,3,7,4,1
301,TestTotalAgent_MissReward(Clone),1,4,5,3,0
302,TestControllerAgent_MissReward(Clone),0,2,1,4,1
302,TestTotalAgent_MissReward(Clone),1,4,4,2,0
303,TestControllerAgent_MissReward(Clone),1,4,19,0,0
303,TestTotalAgent_MissReward(Clone),0,0,31,4,1
304,TestControllerAgent_MissReward(Clone),1,4,8,1,0
304,TestTotalAgent_MissReward(Clone),0,1,11,4,1
305,TestControllerAgent_MissReward(Clone),1,4,24,1,0
305,TestTotalAgent_MissReward(Clone),0,1,33,4,1
306,TestControllerAgent_MissReward(Clone),1,4,39,1,0
306,TestTotalAgent_MissReward(Clone),0,1,44,4,1
307,TestControllerAgent_MissReward(Clone),1,4,11,2,0
307,TestTotalAgent_MissReward(Clone),0,2,12,4,1
308,TestControllerAgent_MissReward(Clone),1,4,5,2,0
308,TestTotalAgent_MissReward(Clone),0,2,7,4,1
309,TestControllerAgent_MissReward(Clone),1,4,4,0,0
309,TestTotalAgent_MissReward(Clone),0,0,7,4,1
310,TestControllerAgent_MissReward(Clone),1,4,42,0,0
310,TestTotalAgent_MissReward(Clone),0,0,49,4,1
311,TestControllerAgent_MissReward(Clone),1,4,13,2,0
311,TestTotalAgent_MissReward(Clone),0,2,14,4,1
312,TestControllerAgent_MissReward(Clone),1,4,12,1,0
312,TestTotalAgent_MissReward(Clone),0,1,16,4,1
313,TestControllerAgent_MissReward(Clone),1,4,8,0,0
313,TestTotalAgent_MissReward(Clone),0,0,13,4,1
314,TestControllerAgent_MissReward(Clone),1,4,6,3,0
314,TestTotalAgent_MissReward(Clone),0,3,7,4,1
315,TestControllerAgent_MissReward(Clone),1,4,4,0,0
315,TestTotalAgent_MissReward(Clone),0,0,8,4,1
316,TestControllerAgent_MissReward(Clone),1,4,6,2,0
316,TestTotalAgent_MissReward(Clone),0,2,9,4,1
317,TestControllerAgent_MissReward(Clone),0,0,16,4,1
317,TestTotalAgent_MissReward(Clone),1,4,19,0,0
318,TestControllerAgent_MissReward(Clone),1,4,59,3,0
318,TestTotalAgent_MissReward(Clone),0,3,84,4,1
319,TestControllerAgent_MissReward(Clone),1,4,7,2,0
319,TestTotalAgent_MissReward(Clone),0,2,8,4,1
320,TestControllerAgent_MissReward(Clone),1,4,7,0,0
320,TestTotalAgent_MissReward(Clone),0,0,10,4,1
321,TestControllerAgent_MissReward(Clone),1,4,27,2,0
321,TestTotalAgent_MissReward(Clone),0,2,33,4,1
322,TestControllerAgent_MissReward(Clone),0,2,16,4,1
322,TestTotalAgent_MissReward(Clone),1,4,21,2,0
323,TestControllerAgent_MissReward(Clone),1,4,21,0,0
323,TestTotalAgent_MissReward(Clone),0,0,24,4,1
324,TestControllerAgent_MissReward(Clone),1,4,34,1,0
324,TestTotalAgent_MissReward(Clone),0,1,48,4,1
325,TestControllerAgent_MissReward(Clone),1,4,13,2,0
325,TestTotalAgent_MissReward(Clone),0,2,14,4,1
326,TestControllerAgent_MissReward(Clone),0,0,7,4,1
326,TestTotalAgent_MissReward(Clone),1,4,14,0,0
327,TestControllerAgent_MissReward(Clone),1,4,19,1,0
327,TestTotalAgent_MissReward(Clone),0,1,20,4,1
328,TestControllerAgent_MissReward(Clone),1,4,4,0,0
328,TestTotalAgent_MissReward(Clone),0,0,8,4,1
329,TestControllerAgent_MissReward(Clone),1,4,5,0,0
329,TestTotalAgent_MissReward(Clone),0,0,9,4,1
330,TestControllerAgent_MissReward(Clone),1,4,17,2,0
330,TestTotalAgent_MissReward(Clone),0,2,18,4,1
331,TestControllerAgent_MissReward(Clone),1,4,7,0,0
331,TestTotalAgent_MissReward(Clone),0,0,11,4,1
332,TestControllerAgent_MissReward(Clone),1,4,7,2,0
332,TestTotalAgent_MissReward(Clone),0,2,9,4,1
333,TestControllerAgent_MissReward(Clone),0,1,10,4,1
333,TestTotalAgent_MissReward(Clone),1,4,28,1,0
334,TestControllerAgent_MissReward(Clone),1,4,5,2,0
334,TestTotalAgent_MissReward(Clone),0,2,5,4,1
335,TestControllerAgent_MissReward(Clone),0,1,17,4,1
335,TestTotalAgent_MissReward(Clone),1,4,15,1,0
336,TestControllerAgent_MissReward(Clone),1,4,11,1,0
336,TestTotalAgent_MissReward(Clone),0,1,12,4,1
337,TestControllerAgent_MissReward(Clone),0,3,5,4,1
337,TestTotalAgent_MissReward(Clone),1,4,9,3,0
338,TestControllerAgent_MissReward(Clone),0,1,3,4,1
338,TestTotalAgent_MissReward(Clone),1,4,12,1,0
339,TestControllerAgent_MissReward(Clone),1,4,9,2,0
339,TestTotalAgent_MissReward(Clone),0,2,11,4,1
340,TestControllerAgent_MissReward(Clone),0,3,6,4,1
340,TestTotalAgent_MissReward(Clone),1,4,9,3,0
341,TestControllerAgent_MissReward(Clone),1,4,40,2,0
341,TestTotalAgent_MissReward(Clone),0,2,49,4,1
342,TestControllerAgent_MissReward(Clone),1,4,7,3,0
342,TestTotalAgent_MissReward(Clone),0,3,7,4,1
343,TestControllerAgent_MissReward(Clone),0,1,9,4,1
343,TestTotalAgent_MissReward(Clone),1,4,8,1,0
344,TestControllerAgent_MissReward(Clone),1,4,18,0,0
344,TestTotalAgent_MissReward(Clone),0,0,24,4,1
345,TestControllerAgent_MissReward(Clone),1,4,16,2,0
345,TestTotalAgent_MissReward(Clone),0,2,17,4,1
346,TestControllerAgent_MissReward(Clone),1,4,8,2,0
346,TestTotalAgent_MissReward(Clone),0,2,9,4,1
347,TestControllerAgent_MissReward(Clone),1,4,76,3,0
347,TestTotalAgent_MissReward(Clone),0,3,97,4,1
348,TestControllerAgent_MissReward(Clone),0,2,12,4,1
348,TestTotalAgent_MissReward(Clone),1,4,10,2,0
349,TestControllerAgent_MissReward(Clone),0,3,10,4,1
349,TestTotalAgent_MissReward(Clone),1,4,17,3,0
350,TestControllerAgent_MissReward(Clone),1,4,11,2,0
350,TestTotalAgent_MissReward(Clone),0,2,14,4,1
351,TestControllerAgent_MissReward(Clone),1,4,4,1,0
351,TestTotalAgent_MissReward(Clone),0,1,7,4,1
352,TestControllerAgent_MissReward(Clone),1,4,10,1,0
352,TestTotalAgent_MissReward(Clone),0,1,12,4,1
353,TestControllerAgent_MissReward(Clone),1,4,5,1,0
353,TestTotalAgent_MissReward(Clone),0,1,8,4,1
354,TestControllerAgent_MissReward(Clone),1,4,26,0,0
354,TestTotalAgent_MissReward(Clone),0,0,30,4,1
355,TestControllerAgent_MissReward(Clone),0,2,80,2,0
355,TestTotalAgent_MissReward(Clone),0,2,112,2,0
356,TestControllerAgent_MissReward(Clone),1,4,9,2,0
356,TestTotalAgent_MissReward(Clone),0,2,10,4,1
357,TestControllerAgent_MissReward(Clone),0,2,7,4,1
357,TestTotalAgent_MissReward(Clone),1,4,11,2,0
358,TestControllerAgent_MissReward(Clone),1,4,7,1,0
358,TestTotalAgent_MissReward(Clone),0,1,12,4,1
359,TestControllerAgent_MissReward(Clone),1,4,48,1,0
359,TestTotalAgent_MissReward(Clone),0,1,58,4,1
360,TestControllerAgent_MissReward(Clone),1,4,8,2,0
360,TestTotalAgent_MissReward(Clone),0,2,13,4,1
361,TestControllerAgent_MissReward(Clone),1,4,7,0,0
361,TestTotalAgent_MissReward(Clone),0,0,11,4,1
362,TestControllerAgent_MissReward(Clone),0,1,5,4,1
362,TestTotalAgent_MissReward(Clone),1,4,3,1,0
363,TestControllerAgent_MissReward(Clone),1,4,12,1,0
363,TestTotalAgent_MissReward(Clone),0,1,14,4,1
364,TestControllerAgent_MissReward(Clone),1,4,8,1,0
364,TestTotalAgent_MissReward(Clone),0,1,10,4,1
365,TestControllerAgent_MissReward(Clone),1,4,8,1,0
365,TestTotalAgent_MissReward(Clone),0,1,11,4,1
366,TestControllerAgent_MissReward(Clone),1,4,14,1,0
366,TestTotalAgent_MissReward(Clone),0,1,17,4,1
367,TestControllerAgent_MissReward(Clone),1,4,85,2,0
367,TestTotalAgent_MissReward(Clone),0,2,113,4,1
368,TestControllerAgent_MissReward(Clone),1,4,3,0,0
368,TestTotalAgent_MissReward(Clone),0,0,13,4,1
369,TestControllerAgent_MissReward(Clone),1,4,7,2,0
369,TestTotalAgent_MissReward(Clone),0,2,9,4,1
370,TestControllerAgent_MissReward(Clone),1,4,7,3,0
370,TestTotalAgent_MissReward(Clone),0,3,7,4,1
371,TestControllerAgent_MissReward(Clone),1,4,24,1,0
371,TestTotalAgent_MissReward(Clone),0,1,29,4,1
372,TestControllerAgent_MissReward(Clone),1,4,51,0,0
372,TestTotalAgent_MissReward(Clone),0,0,61,4,1
373,TestControllerAgent_MissReward(Clone),1,4,6,1,0
373,TestTotalAgent_MissReward(Clone),0,1,9,4,1
374,TestControllerAgent_MissReward(Clone),0,2,12,4,1
374,TestTotalAgent_MissReward(Clone),1,4,14,2,0
375,TestControllerAgent_MissReward(Clone),1,4,7,1,0
375,TestTotalAgent_MissReward(Clone),0,1,9,4,1
376,TestControllerAgent_MissReward(Clone),1,4,7,1,0
376,TestTotalAgent_MissReward(Clone),0,1,10,4,1
377,TestControllerAgent_MissReward(Clone),1,4,29,2,0
377,TestTotalAgent_MissReward(Clone),0,2,38,4,1
378,TestControllerAgent_MissReward(Clone),1,4,22,2,0
378,TestTotalAgent_MissReward(Clone),0,2,23,4,1
379,TestControllerAgent_MissReward(Clone),0,2,33,4,1
379,TestTotalAgent_MissReward(Clone),1,4,32,2,0
380,TestControllerAgent_MissReward(Clone),1,4,2,1,0
380,TestTotalAgent_MissReward(Clone),0,1,4,4,1
381,TestControllerAgent_MissReward(Clone),0,1,8,4,1
381,TestTotalAgent_MissReward(Clone),1,4,22,1,0
382,TestControllerAgent_MissReward(Clone),1,4,30,1,0
382,TestTotalAgent_MissReward(Clone),0,1,33,4,1
383,TestControllerAgent_MissReward(Clone),1,4,9,1,0
383,TestTotalAgent_MissReward(Clone),0,1,12,4,1
384,TestControllerAgent_MissReward(Clone),1,4,11,1,0
384,TestTotalAgent_MissReward(Clone),0,1,16,4,1
385,TestControllerAgent_MissReward(Clone),1,4,6,3,0
385,TestTotalAgent_MissReward(Clone),0,3,9,4,1
386,TestControllerAgent_MissReward(Clone),1,4,10,2,0
386,TestTotalAgent_MissReward(Clone),0,2,20,4,1
387,TestControllerAgent_MissReward(Clone),0,1,8,4,1
387,TestTotalAgent_MissReward(Clone),1,4,6,1,0
388,TestControllerAgent_MissReward(Clone),1,4,29,0,0
388,TestTotalAgent_MissReward(Clone),0,0,33,4,1
389,TestControllerAgent_MissReward(Clone),1,4,15,3,0
389,TestTotalAgent_MissReward(Clone),0,3,15,4,1
390,TestControllerAgent_MissReward(Clone),1,4,10,1,0
390,TestTotalAgent_MissReward(Clone),0,1,21,4,1
391,TestControllerAgent_MissReward(Clone),1,4,8,1,0
391,TestTotalAgent_MissReward(Clone),0,1,11,4,1
392,TestControllerAgent_MissReward(Clone),1,4,11,0,0
392,TestTotalAgent_MissReward(Clone),0,0,17,4,1
393,TestControllerAgent_MissReward(Clone),1,4,14,2,0
393,TestTotalAgent_MissReward(Clone),0,2,15,4,1
394,TestControllerAgent_MissReward(Clone),1,4,4,0,0
394,TestTotalAgent_MissReward(Clone),0,0,8,4,1
395,TestControllerAgent_MissReward(Clone),0,2,5,4,1
395,TestTotalAgent_MissReward(Clone),1,4,11,2,0
396,TestControllerAgent_MissReward(Clone),0,3,7,4,1
396,TestTotalAgent_MissReward(Clone),1,4,5,3,0
397,TestControllerAgent_MissReward(Clone),1,4,3,0,0
397,TestTotalAgent_MissReward(Clone),0,0,6,4,1
398,TestControllerAgent_MissReward(Clone),1,4,42,0,0
398,TestTotalAgent_MissReward(Clone),0,0,54,4,1
399,TestControllerAgent_MissReward(Clone),1,4,4,1,0
399,TestTotalAgent_MissReward(Clone),0,1,6,4,1
400,TestControllerAgent_MissReward(Clone),1,4,2,0,0
400,TestTotalAgent_MissReward(Clone),0,0,7,4,1
401,TestControllerAgent_MissReward(Clone),1,4,3,1,0
401,TestTotalAgent_MissReward(Clone),0,1,5,4,1
402,TestControllerAgent_MissReward(Clone),1,4,4,3,0
402,TestTotalAgent_MissReward(Clone),0,3,7,4,1
403,TestControllerAgent_MissReward(Clone),1,4,6,0,0
403,TestTotalAgent_MissReward(Clone),0,0,9,4,1
404,TestControllerAgent_MissReward(Clone),1,4,17,3,0
404,TestTotalAgent_MissReward(Clone),0,3,62,4,1
405,TestControllerAgent_MissReward(Clone),1,4,5,1,0
405,TestTotalAgent_MissReward(Clone),0,1,7,4,1
406,TestControllerAgent_MissReward(Clone),1,4,27,0,0
406,TestTotalAgent_MissReward(Clone),0,0,34,4,1
407,TestControllerAgent_MissReward(Clone),1,4,2,2,0
407,TestTotalAgent_MissReward(Clone),0,2,3,4,1
408,TestControllerAgent_MissReward(Clone),1,4,8,0,0
408,TestTotalAgent_MissReward(Clone),0,0,12,4,1
409,TestControllerAgent_MissReward(Clone),0,1,10,4,1
409,TestTotalAgent_MissReward(Clone),1,4,15,1,0
410,TestControllerAgent_MissReward(Clone),1,4,8,1,0
410,TestTotalAgent_MissReward(Clone),0,1,9,4,1
411,TestControllerAgent_MissReward(Clone),1,4,2,0,0
411,TestTotalAgent_MissReward(Clone),0,0,6,4,1
412,TestControllerAgent_MissReward(Clone),1,4,1,1,0
412,TestTotalAgent_MissReward(Clone),0,1,9,4,1
413,TestControllerAgent_MissReward(Clone),1,4,10,3,0
413,TestTotalAgent_MissReward(Clone),0,3,24,4,1
414,TestControllerAgent_MissReward(Clone),1,4,20,0,0
414,TestTotalAgent_MissReward(Clone),0,0,24,4,1
415,TestControllerAgent_MissReward(Clone),1,4,2,0,0
415,TestTotalAgent_MissReward(Clone),0,0,5,4,1
416,TestControllerAgent_MissReward(Clone),0,2,48,4,1
416,TestTotalAgent_MissReward(Clone),1,4,49,2,0
417,TestControllerAgent_MissReward(Clone),1,4,18,1,0
417,TestTotalAgent_MissReward(Clone),0,1,19,4,1
418,TestControllerAgent_MissReward(Clone),0,3,4,4,1
418,TestTotalAgent_MissReward(Clone),1,4,26,3,0
419,TestControllerAgent_MissReward(Clone),1,4,44,1,0
419,TestTotalAgent_MissReward(Clone),0,1,50,4,1
420,TestControllerAgent_MissReward(Clone),1,4,3,1,0
420,TestTotalAgent_MissReward(Clone),0,1,5,4,1
421,TestControllerAgent_MissReward(Clone),1,4,39,0,0
421,TestTotalAgent_MissReward(Clone),0,0,44,4,1
422,TestControllerAgent_MissReward(Clone),1,4,6,1,0
422,TestTotalAgent_MissReward(Clone),0,1,8,4,1
423,TestControllerAgent_MissReward(Clone),0,3,7,4,1
423,TestTotalAgent_MissReward(Clone),1,4,7,3,0
424,TestControllerAgent_MissReward(Clone),0,3,25,4,1
424,TestTotalAgent_MissReward(Clone),1,4,30,3,0
425,TestControllerAgent_MissReward(Clone),1,4,7,3,0
425,TestTotalAgent_MissReward(Clone),0,3,7,4,1
426,TestControllerAgent_MissReward(Clone),1,4,5,1,0
426,TestTotalAgent_MissReward(Clone),0,1,7,4,1
427,TestControllerAgent_MissReward(Clone),1,4,3,2,0
427,TestTotalAgent_MissReward(Clone),0,2,4,4,1
428,TestControllerAgent_MissReward(Clone),1,4,10,0,0
428,TestTotalAgent_MissReward(Clone),0,0,14,4,1
429,TestControllerAgent_MissReward(Clone),1,4,19,3,0
429,TestTotalAgent_MissReward(Clone),0,3,18,4,1
430,TestControllerAgent_MissReward(Clone),1,4,20,3,0
430,TestTotalAgent_MissReward(Clone),0,3,26,4,1
431,TestControllerAgent_MissReward(Clone),1,4,14,3,0
431,TestTotalAgent_MissReward(Clone),0,3,14,4,1
432,TestControllerAgent_MissReward(Clone),1,4,6,2,0
432,TestTotalAgent_MissReward(Clone),0,2,8,4,1
433,TestControllerAgent_MissReward(Clone),1,4,6,0,0
433,TestTotalAgent_MissReward(Clone),0,0,9,4,1
434,TestControllerAgent_MissReward(Clone),1,4,7,1,0
434,TestTotalAgent_MissReward(Clone),0,1,9,4,1
435,TestControllerAgent_MissReward(Clone),0,0,15,4,1
435,TestTotalAgent_MissReward(Clone),1,4,22,0,0
436,TestControllerAgent_MissReward(Clone),0,1,13,4,1
436,TestTotalAgent_MissReward(Clone),1,4,9,1,0
437,TestControllerAgent_MissReward(Clone),1,4,11,3,0
437,TestTotalAgent_MissReward(Clone),0,3,12,4,1
438,TestControllerAgent_MissReward(Clone),1,4,11,1,0
438,TestTotalAgent_MissReward(Clone),0,1,13,4,1
439,TestControllerAgent_MissReward(Clone),0,2,9,4,1
439,TestTotalAgent_MissReward(Clone),1,4,13,2,0
440,TestControllerAgent_MissReward(Clone),1,4,3,0,0
440,TestTotalAgent_MissReward(Clone),0,0,7,4,1
441,TestControllerAgent_MissReward(Clone),1,4,3,1,0
441,TestTotalAgent_MissReward(Clone),0,1,6,4,1
442,TestControllerAgent_MissReward(Clone),1,4,96,3,0
442,TestTotalAgent_MissReward(Clone),0,3,105,4,1
443,TestControllerAgent_MissReward(Clone),1,4,54,1,0
443,TestTotalAgent_MissReward(Clone),0,1,59,4,1
444,TestControllerAgent_MissReward(Clone),1,4,8,3,0
444,TestTotalAgent_MissReward(Clone),0,3,11,4,1
445,TestControllerAgent_MissReward(Clone),0,0,13,4,1
445,TestTotalAgent_MissReward(Clone),1,4,42,0,0
446,TestControllerAgent_MissReward(Clone),1,4,12,3,0
446,TestTotalAgent_MissReward(Clone),0,3,29,4,1
447,TestControllerAgent_MissReward(Clone),0,2,17,4,1
447,TestTotalAgent_MissReward(Clone),1,4,30,2,0
448,TestControllerAgent_MissReward(Clone),1,4,22,0,0
448,TestTotalAgent_MissReward(Clone),0,0,25,4,1
449,TestControllerAgent_MissReward(Clone),0,2,5,4,1
449,TestTotalAgent_MissReward(Clone),1,4,8,2,0
450,TestControllerAgent_MissReward(Clone),0,1,94,1,0
450,TestTotalAgent_MissReward(Clone),0,1,114,1,0
451,TestControllerAgent_MissReward(Clone),0,1,81,1,0
451,TestTotalAgent_MissReward(Clone),0,1,114,1,0
452,TestControllerAgent_MissReward(Clone),1,4,10,1,0
452,TestTotalAgent_MissReward(Clone),0,1,17,4,1
453,TestControllerAgent_MissReward(Clone),1,4,17,3,0
453,TestTotalAgent_MissReward(Clone),0,3,18,4,1
454,TestControllerAgent_MissReward(Clone),1,4,13,1,0
454,TestTotalAgent_MissReward(Clone),0,1,20,4,1
455,TestControllerAgent_MissReward(Clone),1,4,6,1,0
455,TestTotalAgent_MissReward(Clone),0,1,10,4,1
456,TestControllerAgent_MissReward(Clone),1,4,11,3,0
456,TestTotalAgent_MissReward(Clone),0,3,14,4,1
457,TestControllerAgent_MissReward(Clone),1,4,5,2,0
457,TestTotalAgent_MissReward(Clone),0,2,7,4,1
458,TestControllerAgent_MissReward(Clone),1,4,55,1,0
458,TestTotalAgent_MissReward(Clone),0,1,61,4,1
459,TestControllerAgent_MissReward(Clone),1,4,4,0,0
459,TestTotalAgent_MissReward(Clone),0,0,8,4,1
460,TestControllerAgent_MissReward(Clone),1,4,5,0,0
460,TestTotalAgent_MissReward(Clone),0,0,9,4,1
461,TestControllerAgent_MissReward(Clone),0,3,18,4,1
461,TestTotalAgent_MissReward(Clone),1,4,17,3,0
462,TestControllerAgent_MissReward(Clone),1,4,8,0,0
462,TestTotalAgent_MissReward(Clone),0,0,11,4,1
463,TestControllerAgent_MissReward(Clone),0,1,19,4,1
463,TestTotalAgent_MissReward(Clone),1,4,30,1,0
464,TestControllerAgent_MissReward(Clone),1,4,20,2,0
464,TestTotalAgent_MissReward(Clone),0,2,20,4,1
465,TestControllerAgent_MissReward(Clone),1,4,12,0,0
465,TestTotalAgent_MissReward(Clone),0,0,15,4,1
